label,rank,gene,scores,pval,qval,log2fc,mean_in_norm,mean_out_norm,pct_in,pct_out,auc_norm_expr,cells_in_label,label_frequency
DC4,7,TCF7L2,18.385166,1.7270801727016012e-75,4.945864163139471e-72,3.7688413,1.2563429,0.09216667,0.97252744,0.23590814,0.92933995,182,0.15964912280701754
DC4,8,MS4A7,17.75692,1.523683561052637e-70,3.817970083107646e-67,2.5988424,9.109957,1.5037887,0.989011,0.59707725,0.91466886,182,0.15964912280701754
DC4,9,SERPINA1,17.711239,3.434301573947927e-70,7.64933437237335e-67,2.012158,31.407766,7.786049,1.0,0.6868476,0.91360205,182,0.15964912280701754
DC4,10,FCER1G,17.682749,5.695035014670258e-70,1.1416267190408e-66,1.2214074,56.291542,24.141422,1.0,0.9530271,0.91293675,182,0.15964912280701754
DC5,1,AXL,9.3014345,1.3856367751072836e-20,2.777647479380061e-16,4.864904,4.5823503,0.15725565,1.0,0.8126126,0.99702704,30,0.02631578947368421
DC5,2,PPP1R14A,9.188475,3.9844963497761986e-20,3.9936606913806838e-16,5.523362,2.2891085,0.049770117,1.0,0.067567565,0.990991,30,0.02631578947368421
DC5,3,SIGLEC6,8.846787,9.007473627830946e-19,6.018793878116638e-15,6.0644546,2.7489495,0.04107561,0.96666664,0.09189189,0.9727327,30,0.02631578947368421
DC5,4,CD22,8.424736,3.615652808670461e-17,1.8119844050652017e-13,5.4724627,0.6873926,0.015482082,0.93333334,0.096396394,0.9501802,30,0.02631578947368421
DC5,5,DAB2,8.119577,4.678104132474141e-16,1.8755455087915327e-12,3.3838134,2.15255,0.20621674,0.96666664,0.22162162,0.9338739,30,0.02631578947368421
DC5,6,S100A10,8.003246,1.2118142584672207e-15,4.048671437538984e-12,1.6060412,22.839497,7.502741,1.0,0.87747747,0.92765766,30,0.02631578947368421
DC5,7,FAM105A,7.518814,5.527538222874286e-14,1.5829290173676847e-10,2.4978328,1.7419121,0.30839238,1.0,0.5603604,0.9017718,30,0.02631578947368421
DC5,8,LGMN,7.4924006,6.762514969874616e-14,1.694517188576332e-10,2.3287437,8.352397,1.6626061,1.0,0.46036035,0.90036035,30,0.02631578947368421
DC5,9,ACTG1,7.274912,3.466465830959969e-13,7.720974894158172e-10,0.97737986,72.82879,36.989838,1.0,0.97657657,0.88873875,30,0.02631578947368421
DC5,10,PLAC8,7.217027,5.313630293925318e-13,1.0651703287202693e-09,1.9011658,23.656738,6.3335457,1.0,0.8756757,0.8856456,30,0.02631578947368421
DC6,1,SERPINF1,20.820494,2.822668785416195e-96,2.4371419467247543e-92,4.886255,15.896616,0.537521,1.0,0.3050672,0.99637157,173,0.15175438596491228
DC6,2,IGJ,20.816856,3.0451361806530716e-96,2.4371419467247543e-92,8.010346,68.96389,0.26746508,0.99421966,0.16339193,0.9962849,173,0.15175438596491228
DC6,3,GZMB,20.808207,3.6473240747152865e-96,2.4371419467247543e-92,8.086851,104.96219,0.38605413,0.99421966,0.16442606,0.99607867,173,0.15175438596491228
DC6,4,AK128525,20.697508,3.647460308152064e-95,1.4661479836023053e-91,6.5070815,16.878675,0.18557167,0.99421966,0.111685626,0.99343956,173,0.15175438596491228
DC6,5,PLD4,20.697384,3.6569589534129134e-95,1.4661479836023053e-91,4.207541,17.034407,0.9220001,1.0,0.53257495,0.9934366,173,0.15175438596491228
DC6,6,ITM2C,20.60875,2.2907626791940899e-94,7.653438111187454e-91,5.250644,11.519111,0.3025642,0.99421966,0.229576,0.99132353,173,0.15175438596491228
DC6,7,IRF7,20.552586,7.297250381449398e-94,2.0897240163790663e-90,4.6719728,13.369372,0.52445364,0.99421966,0.48397106,0.9899845,173,0.15175438596491228
DC6,8,CCDC50,20.520617,1.4091481172354402e-93,3.5309728947627044e-90,5.058801,3.004091,0.09012851,0.99421966,0.41261634,0.98922235,173,0.15175438596491228
DC6,9,TCF4,20.499805,2.1615594966908e-93,4.814513518962642e-90,4.864998,3.8406653,0.13179418,1.0,0.34953463,0.98872626,173,0.15175438596491228
DC6,10,LYZ,-20.379955,2.5188641543019585e-92,5.0493150837137064e-89,-6.570308,1.918843,182.34727,1.0,0.99069285,0.014131065,173,0.15175438596491228
Mono1,1,CD14,18.97964,2.513152884632873e-80,5.0378662725350574e-76,3.2435553,43.358597,4.5779157,1.0,0.3006135,0.9649575,162,0.14210526315789473
Mono1,2,VCAN,18.644701,1.3943050564673246e-77,1.3975119580971996e-73,3.1876557,9.341012,1.0252126,1.0,0.41717792,0.95675224,162,0.14210526315789473
Mono1,3,S100A8,17.250072,1.1176035773869863e-66,7.467827104099842e-63,2.4554703,34.96265,6.3743243,0.99382716,0.39059305,0.92258704,162,0.14210526315789473
Mono1,4,FCN1,17.130783,8.747042216158134e-66,4.383580206627649e-62,1.9537934,61.09734,15.77146,1.0,0.6298568,0.91966474,162,0.14210526315789473
Mono1,5,S100A9,17.05452,3.23521420210666e-65,1.2970620779086022e-61,2.3269384,119.24744,23.766806,1.0,0.6697342,0.91779643,162,0.14210526315789473
Mono1,6,ITGB2,16.744574,6.203366119116726e-63,1.8311255258103617e-59,1.4752529,22.788374,8.196302,1.0,0.9222904,0.9102035,162,0.14210526315789473
Mono1,7,LRP1,16.74277,6.394232605343975e-63,1.8311255258103617e-59,2.51921,0.7908528,0.13795513,0.99382716,0.4795501,0.9101593,162,0.14210526315789473
Mono1,8,TKT,16.501356,3.587398266860527e-61,8.989123207185766e-58,1.9123703,26.535643,7.049345,0.9876543,0.8384458,0.90424526,162,0.14210526315789473
Mono1,9,LYZ,16.346254,4.6254889259413134e-60,1.0302505667713286e-56,1.5874957,362.43637,120.60018,1.0,0.9907975,0.9004456,162,0.14210526315789473
Mono1,10,CSF3R,16.338268,5.272963411232849e-60,1.057018245415737e-56,2.1670496,2.7404869,0.610212,0.99382716,0.47648263,0.90024996,162,0.14210526315789473
Mono2,1,LAIR2,14.65891,1.1815434210651814e-48,2.3685219418672626e-44,2.701754,2.0910351,0.32140478,0.93043476,0.17268293,0.9163351,115,0.10087719298245613
Mono2,2,PSAP,14.556754,5.2910971482923724e-48,5.303266671733445e-44,1.3344339,118.98925,47.184906,1.0,0.98146343,0.91343373,115,0.10087719298245613
Mono2,3,IFI30,13.576715,5.503963343332553e-42,3.6777483060148116e-38,1.427249,95.42879,35.484173,1.0,0.86536586,0.88559914,115,0.10087719298245613
Mono2,4,FTL,12.975729,1.6799058292593328e-38,8.418848063333147e-35,1.2855879,240.76984,98.764656,1.0,0.98146343,0.8685302,115,0.10087719298245613
Mono2,5,ASAH1,12.253469,1.6095963882347553e-34,6.453193839710781e-31,1.6361657,10.757367,3.4607565,1.0,0.7414634,0.848017,115,0.10087719298245613
Mono2,6,APOBEC3A,11.994944,3.7767453828952775e-33,1.2618106324253121e-29,2.5068643,7.299181,1.2842004,0.9217391,0.58926827,0.84067446,115,0.10087719298245613
Mono2,7,SAT1,11.863963,1.8214510887388717e-32,5.216115503551346e-29,1.2468231,79.62347,33.551346,1.0,0.9492683,0.8369544,115,0.10087719298245613
Mono2,8,TSPAN14,11.746424,7.367082462245427e-32,1.846006687977148e-28,1.7824986,1.7398894,0.50575024,0.973913,0.7121951,0.83361614,115,0.10087719298245613
Mono2,9,RPS26,11.613651,3.512869800660887e-31,7.824332002672016e-28,1.1505651,3.1226885,1.4066112,1.0,0.8595122,0.8298452,115,0.10087719298245613
Mono2,10,PTPRC,11.572729,5.665129434022343e-31,1.135631846344119e-27,1.1045815,12.242159,5.6930614,1.0,0.9512195,0.8286829,115,0.10087719298245613
Mono3,1,G0S2,8.554472,1.1840910324457048e-17,2.2130322896288365e-13,3.3914866,27.847454,2.653666,1.0,0.22723174,0.9498822,31,0.027192982456140352
Mono3,2,NAMPT,8.459893,2.6762345452519966e-17,2.2130322896288365e-13,2.561461,21.490273,3.6405363,1.0,0.8620379,0.9449082,31,0.027192982456140352
Mono3,3,NEAT1,8.435003,3.3119309931589893e-17,2.2130322896288365e-13,2.280902,4.4866495,0.9232137,1.0,0.9224527,0.9435993,31,0.027192982456140352
Mono3,4,AL137655,8.310556,9.525418709574572e-17,4.773663586303297e-13,2.2717671,2.0332086,0.42102885,1.0,0.6122633,0.9370546,31,0.027192982456140352
Mono3,5,CSF3R,8.275159,1.2828492172729365e-16,5.143199081890658e-13,2.5587933,4.7475705,0.80574554,1.0,0.5374211,0.935193,31,0.027192982456140352
Mono3,6,FCGR3B,8.204085,2.323527172886709e-16,7.762904284614494e-13,4.5017834,6.861657,0.3028707,0.9032258,0.2308386,0.93145525,31,0.027192982456140352
Mono3,7,TNFRSF10C,8.148223,3.6931172710730915e-16,9.403309371212727e-13,4.3988056,2.3319004,0.11054459,0.9032258,0.07213706,0.9285174,31,0.027192982456140352
Mono3,8,SRGN,8.146287,3.752692555607194e-16,9.403309371212727e-13,1.6390536,69.29784,22.24925,1.0,0.9729486,0.9284156,31,0.027192982456140352
Mono3,9,TREM1,8.125269,4.463706181356678e-16,9.942161567941776e-13,2.7521653,5.1104302,0.7585307,1.0,0.3417493,0.9273103,31,0.027192982456140352
Mono3,10,MXD1,8.046729,8.503588589770568e-16,1.7046293687054082e-12,2.8231268,2.1161318,0.29901767,1.0,0.5825068,0.92317986,31,0.027192982456140352
Mono4,1,PRF1,7.2776475,3.3969125943981353e-13,4.3879155651941015e-09,10.125812,12.132307,0.01085851,1.0,0.030303031,0.9993563,18,0.015789473684210527
Mono4,2,KLRD1,7.218474,5.257423710442428e-13,4.3879155651941015e-09,5.0810175,3.1172214,0.09209348,1.0,0.84313726,0.9952961,18,0.015789473684210527
Mono4,3,CTSW,7.188165,6.566769777303355e-13,4.3879155651941015e-09,5.1548934,6.8018723,0.19091982,1.0,0.123885915,0.99321645,18,0.015789473684210527
Mono4,4,CCL5,6.906008,4.984829730306153e-12,2.2796614070719024e-08,3.7879877,13.607071,0.98506916,1.0,0.9349376,0.9738562,18,0.015789473684210527
Mono4,5,GNLY,6.8670397,6.554786965391231e-12,2.2796614070719024e-08,9.260309,47.11342,0.07682698,0.9444444,0.030303031,0.9711824,18,0.015789473684210527
Mono4,6,KLRC4-KLRK1,6.858741,6.94701223406231e-12,2.2796614070719024e-08,8.670667,5.3687577,0.013174772,0.9444444,0.009803922,0.970613,18,0.015789473684210527
Mono4,7,TCRBV3S1,6.839257,7.960505761500208e-12,2.2796614070719024e-08,6.927948,5.5944195,0.045944646,0.9444444,0.015151516,0.9692761,18,0.015789473684210527
Mono4,8,NKG7,6.8046184,1.0131732854304157e-11,2.5387589599672642e-08,6.1121635,26.292551,0.38009152,0.9444444,0.15953654,0.9668994,18,0.015789473684210527
Mono4,9,SPON2,6.5682845,5.089824957832441e-11,1.1336736789412124e-07,5.5543456,3.2868977,0.06994578,0.9444444,0.36363637,0.9506833,18,0.015789473684210527
Mono4,10,FGFBP2,6.4607615,1.0417745051024856e-10,2.0883411729284428e-07,8.961875,4.740385,0.009506493,0.8888889,0.0053475937,0.9433056,18,0.015789473684210527
Singleton,1,SKP1,-11.099496,1.2615309730572257e-28,1.2644324942952573e-24,-3.4005816,0.21804625,2.302638,0.14285715,0.9266481,0.084493965,63,0.05526315789473684
Singleton,2,EIF2S3,-11.133748,8.594382152112077e-29,1.2644324942952573e-24,-0.8431639,1.3577516,2.4357793,0.23809524,0.9786444,0.08321174,63,0.05526315789473684
Singleton,3,RPL23,-11.016424,3.184584521233995e-28,2.1279393770885553e-24,-1.7002306,2.857457,9.285389,0.26984128,0.98978645,0.08760372,63,0.05526315789473684
Singleton,4,POLR2E,-10.778824,4.3338941449966145e-27,1.7375448406120428e-23,-4.505521,0.03340857,0.75884795,0.0952381,0.86165273,0.096498206,63,0.05526315789473684
Singleton,5,CNPY3,-10.782762,4.152302171063218e-27,1.7375448406120428e-23,-2.2731981,0.71910334,3.4760988,0.12698413,0.9247911,0.09635083,63,0.05526315789473684
Singleton,6,COX7C,-10.684926,1.1974457909366148e-26,3.0004997906394225e-23,-1.7083931,1.3238614,4.3263345,0.11111111,0.92293406,0.10001326,63,0.05526315789473684
Singleton,7,EEF1B2,-10.690635,1.1259782558112214e-26,3.0004997906394225e-23,1.2488307,32.077213,13.497743,0.22222222,0.97493035,0.09979956,63,0.05526315789473684
Singleton,8,EIF5A,-10.707957,9.339958189952548e-27,3.0004997906394225e-23,-4.059682,0.12254087,2.043464,0.0952381,0.86536676,0.09915108,63,0.05526315789473684
Singleton,9,SERF2,-10.671934,1.3772979730253913e-26,3.0677016852518885e-23,-1.317086,0.5287514,1.3174492,0.1904762,0.98700094,0.10049962,63,0.05526315789473684
Singleton,10,NPC2,-10.57902,3.728389482864939e-26,7.473929557351057e-23,-1.8105662,2.7276826,9.568163,0.20634921,0.9675023,0.10397784,63,0.05526315789473684
