gene,label,label_frequency,neg_log10_freq,metric_value,metric_quantile
AIF1,DC4,0.1596491228070175,0.7968334633513979,0.9845119371411304,0.9845371209831771
IFITM3,DC4,0.1596491228070175,0.7968334633513979,0.9840082603001914,0.9840334441422384
AK307192,DC4,0.1596491228070175,0.7968334633513979,0.9748413417951044,0.9748665256371511
MTSS1,DC4,0.1596491228070175,0.7968334633513979,0.5555303717135086,0.5555555555555556
TCF7L2,DC4,0.1596491228070175,0.7968334633513979,0.7280396897350659,0.7280648735771129
MS4A7,DC4,0.1596491228070175,0.7968334633513979,0.943311171552332,0.943336355394379
SERPINA1,DC4,0.1596491228070175,0.7968334633513979,0.9665306739196132,0.9665558577616601
FCER1G,DC4,0.1596491228070175,0.7968334633513979,0.9931248111211848,0.9931499949632316
AXL,DC5,0.0263157894736842,1.5797835966168103,0.8167875491084919,0.8168127329505389
PPP1R14A,DC5,0.0263157894736842,1.5797835966168103,0.7933162083207415,0.7933413921627883
SIGLEC6,DC5,0.0263157894736842,1.5797835966168103,0.9471894832275612,0.9472146670696081
CD22,DC5,0.0263157894736842,1.5797835966168103,0.703006950740405,0.703032134582452
DAB2,DC5,0.0263157894736842,1.5797835966168103,0.7335297673012995,0.7335549511433465
S100A10,DC5,0.0263157894736842,1.5797835966168103,0.8314949128639065,0.8315200967059535
FAM105A,DC5,0.0263157894736842,1.5797835966168103,0.3047496726100533,0.30477485645210034
LGMN,DC5,0.0263157894736842,1.5797835966168103,0.9203435076055204,0.9203686914475673
ACTG1,DC5,0.0263157894736842,1.5797835966168103,0.9966001813236628,0.9966253651657097
PLAC8,DC5,0.0263157894736842,1.5797835966168103,0.9675380276014908,0.9675632114435379
SERPINF1,DC6,0.1517543859649122,0.8188587482076775,0.9693008965447768,0.9693260803868238
IGJ,DC6,0.1517543859649122,0.8188587482076775,0.9955424599576912,0.9955676437997381
GZMB,DC6,0.1517543859649122,0.8188587482076775,0.9985645210033244,0.9985897048453712
AK128525,DC6,0.1517543859649122,0.8188587482076775,0.981540243779591,0.981565427621638
PLD4,DC6,0.1517543859649122,0.8188587482076775,0.95741412309862,0.9574393069406669
ITM2C,DC6,0.1517543859649122,0.8188587482076775,0.9476931600685,0.947718343910547
IRF7,DC6,0.1517543859649122,0.8188587482076775,0.9660773647627682,0.9661025486048151
CCDC50,DC6,0.1517543859649122,0.8188587482076775,0.5634380981162486,0.5634632819582955
TCF4,DC6,0.1517543859649122,0.8188587482076775,0.713987105872872,0.7140122897149189
LYZ,DC6,0.1517543859649122,0.8188587482076775,0.9972549612168832,0.9972801450589301
CD14,Mono1,0.1421052631578947,0.8473898367938417,0.9991689332124508,0.9991941170544978
VCAN,Mono1,0.1421052631578947,0.8473898367938417,0.953435076055203,0.9534602598972499
S100A8,Mono1,0.1421052631578947,0.8473898367938417,0.9974060642691648,0.9974312481112119
FCN1,Mono1,0.1421052631578947,0.8473898367938417,0.9924700312279642,0.992495215070011
S100A9,Mono1,0.1421052631578947,0.8473898367938417,0.9990681978442632,0.99909338168631
ITGB2,Mono1,0.1421052631578947,0.8473898367938417,0.8841795104261106,0.8842046942681575
LRP1,Mono1,0.1421052631578947,0.8473898367938417,0.4861237030321346,0.4861488868741815
TKT,Mono1,0.1421052631578947,0.8473898367938417,0.9352019744132164,0.9352271582552634
LYZ,Mono1,0.1421052631578947,0.8473898367938417,0.9972549612168832,0.9972801450589301
CSF3R,Mono1,0.1421052631578947,0.8473898367938417,0.9263876296967866,0.9264128135388335
LAIR2,Mono2,0.1008771929824561,0.9962070109828611,0.6773697995366174,0.6773949833786642
PSAP,Mono2,0.1008771929824561,0.9962070109828611,0.9700060441220912,0.9700312279641382
IFI30,Mono2,0.1008771929824561,0.9962070109828611,0.98995164702327,0.9899768308653168
FTL,Mono2,0.1008771929824561,0.9962070109828611,0.9954920922735973,0.9955172761156442
ASAH1,Mono2,0.1008771929824561,0.9962070109828611,0.9189332124508915,0.9189583962929384
APOBEC3A,Mono2,0.1008771929824561,0.9962070109828611,0.9779641382089252,0.9779893220509721
SAT1,Mono2,0.1008771929824561,0.9962070109828611,0.9921678251234008,0.9921930089654478
TSPAN14,Mono2,0.1008771929824561,0.9962070109828611,0.5007806991034552,0.5008058829455022
RPS26,Mono2,0.1008771929824561,0.9962070109828611,0.6801903898458749,0.6802155736879218
PTPRC,Mono2,0.1008771929824561,0.9962070109828611,0.9315251334743628,0.9315503173164098
G0S2,Mono3,0.0271929824561403,1.5655431575022007,0.998614888687418,0.9986400725294651
NAMPT,Mono3,0.0271929824561403,1.5655431575022007,0.9910093683892416,0.9910345522312884
NEAT1,Mono3,0.0271929824561403,1.5655431575022007,0.7771985494106981,0.7772237332527451
AL137655,Mono3,0.0271929824561403,1.5655431575022007,0.9276971894832275,0.9277223733252745
CSF3R,Mono3,0.0271929824561403,1.5655431575022007,0.9263876296967866,0.9264128135388335
FCGR3B,Mono3,0.0271929824561403,1.5655431575022007,0.9971542258486956,0.9971794096907424
TNFRSF10C,Mono3,0.0271929824561403,1.5655431575022007,0.992520398912058,0.992545582754105
SRGN,Mono3,0.0271929824561403,1.5655431575022007,0.97841744736577,0.978442631207817
TREM1,Mono3,0.0271929824561403,1.5655431575022007,0.9074997481615796,0.9075249320036265
MXD1,Mono3,0.0271929824561403,1.5655431575022007,0.8804523018031631,0.88047748564521
PRF1,Mono4,0.0157894736842105,1.8016323462331674,0.9868792182935427,0.9869044021355898
KLRD1,Mono4,0.0157894736842105,1.8016323462331674,0.6705701621839428,0.6705953460259897
CTSW,Mono4,0.0157894736842105,1.8016323462331674,0.936360431147376,0.9363856149894227
CCL5,Mono4,0.0157894736842105,1.8016323462331674,0.9532336053188274,0.9532587891608744
GNLY,Mono4,0.0157894736842105,1.8016323462331674,0.9973556965850712,0.9973808804271179
KLRC4-KLRK1,Mono4,0.0157894736842105,1.8016323462331674,0.9717185453812832,0.9717437292233303
TCRBV3S1,Mono4,0.0157894736842105,1.8016323462331674,0.9881887780799838,0.9882139619220308
NKG7,Mono4,0.0157894736842105,1.8016323462331674,0.9957439306940666,0.9957691145361136
SPON2,Mono4,0.0157894736842105,1.8016323462331674,0.9680417044424298,0.9680668882844767
FGFBP2,Mono4,0.0157894736842105,1.8016323462331674,0.9768560491588596,0.9768812330009066
SKP1,Singleton,0.0552631578947368,1.2575643018828913,0.278105167724388,0.27813035156643495
EIF2S3,Singleton,0.0552631578947368,1.2575643018828913,0.3634280245794298,0.36345320842147677
RPL23,Singleton,0.0552631578947368,1.2575643018828913,0.9329354286289916,0.9329606124710386
POLR2E,Singleton,0.0552631578947368,1.2575643018828913,0.2629948624962224,0.26302004633826936
CNPY3,Singleton,0.0552631578947368,1.2575643018828913,0.4873325274503878,0.48735771129243477
COX7C,Singleton,0.0552631578947368,1.2575643018828913,0.8142187972197038,0.8142439810617508
EEF1B2,Singleton,0.0552631578947368,1.2575643018828913,0.9989170947919814,0.9989422786340284
EIF5A,Singleton,0.0552631578947368,1.2575643018828913,0.3475622040898559,0.3475873879319029
SERF2,Singleton,0.0552631578947368,1.2575643018828913,0.2644051576508512,0.2644303414928982
NPC2,Singleton,0.0552631578947368,1.2575643018828913,0.8765739901279339,0.8765991739699809
