label,rank,gene,scores,pval,qval,log2fc,mean_in_norm,mean_out_norm,pct_in,pct_out,auc_norm_expr,cells_in_label,label_frequency
Brush,8,Calm2,13.184946,1.0713109995618149e-39,3.6006762695272595e-36,2.6336784,20.025932,3.226833,0.98630136,0.64158976,0.9466468,73,0.005154275224175669
Brush,9,Plk2,13.108762,2.9334875305162838e-39,8.763956968946871e-36,4.72292,8.137424,0.30813876,0.91780823,0.12420156,0.94406605,73,0.005154275224175669
Brush,10,Rgs2,13.030411,8.216391442254404e-39,2.2092233309933643e-35,4.5146246,11.749731,0.5140324,0.91780823,0.16926898,0.9414114,73,0.005154275224175669
Ciliated,1,Tuba1a,59.720413,0.0,0.0,5.3472605,44.330593,1.0889746,0.99774945,0.2653936,0.9961314,1333,0.09411847772364612
Ciliated,2,Cd24a,58.59754,0.0,0.0,3.751134,27.625654,2.0516758,0.9954989,0.48480123,0.9868031,1333,0.09411847772364612
Ciliated,3,Ccdc153,58.394466,0.0,0.0,6.4060555,13.366972,0.15762252,0.975994,0.051831644,0.985116,1333,0.09411847772364612
Ciliated,4,Tppp3,57.839916,0.0,0.0,3.9725351,23.07999,1.4702237,0.9887472,0.30568978,0.98050904,1333,0.09411847772364612
Ciliated,5,Dynlrb2,57.503265,0.0,0.0,5.306097,11.007461,0.27822283,0.9752438,0.049103662,0.97771233,1333,0.09411847772364612
Ciliated,6,Tubb4b,57.359493,0.0,0.0,3.0298686,40.892555,5.0068307,0.99774945,0.78776306,0.9765179,1333,0.09411847772364612
Ciliated,7,Calm1,57.303333,0.0,0.0,2.3833113,32.630516,6.2542577,0.99774945,0.9032736,0.97605133,1333,0.09411847772364612
Ciliated,8,Chchd10,56.856945,0.0,0.0,3.1611419,16.041548,1.7932786,0.9827457,0.5263445,0.9723429,1333,0.09411847772364612
Ciliated,9,Tmem212,56.03788,0.0,0.0,6.878022,9.223666,0.078417435,0.93698424,0.0268901,0.9655385,1333,0.09411847772364612
Ciliated,10,Foxj1,55.982574,0.0,0.0,4.120864,12.704788,0.730237,0.9767442,0.09898675,0.96507907,1333,0.09411847772364612
Cycling Basal (homeostasis),1,Stmn1,17.017189,6.124081479729504e-65,1.6466430282696692e-60,3.6152284,14.079326,1.1489197,0.9375,0.23683648,0.9361933,128,0.009037633269787475
Cycling Basal (homeostasis),2,Hmgb2,16.726723,8.372052046209545e-63,1.1255386770924112e-58,2.890477,16.207588,2.1857383,0.9765625,0.46704668,0.9287482,128,0.009037633269787475
Cycling Basal (homeostasis),3,H2afz,16.17413,7.677639541015989e-59,6.881212399294598e-55,2.0356674,16.709799,4.0754375,0.984375,0.6899893,0.91458327,128,0.009037633269787475
Cycling Basal (homeostasis),4,Ptma,15.111548,1.3590812605768683e-51,9.135744233597708e-48,1.3795588,45.05401,17.315891,1.0,0.98425364,0.8873469,128,0.009037633269787475
Cycling Basal (homeostasis),5,Ptms,14.829062,9.505130835924184e-50,5.111479158326589e-46,1.7276953,10.177345,3.0728855,1.0,0.715212,0.8801064,128,0.009037633269787475
Cycling Basal (homeostasis),6,Cenpa,14.568869,4.431726772890315e-48,1.986004491157913e-44,4.167415,4.493837,0.25009233,0.796875,0.08293552,0.8734367,128,0.009037633269787475
Cycling Basal (homeostasis),7,Cdca3,14.466574,1.9704701663721384e-47,7.568857404773438e-44,3.9569414,3.7765343,0.24318421,0.796875,0.08635554,0.8708146,128,0.009037633269787475
Cycling Basal (homeostasis),8,Ccnb2,14.366656,8.377925987716838e-47,2.8158209244716294e-43,3.831066,4.0328827,0.28336737,0.796875,0.08706804,0.86825347,128,0.009037633269787475
Cycling Basal (homeostasis),9,Mki67,14.31217,1.8369015490244402e-46,5.487845427796572e-43,3.4778645,5.225667,0.46902955,0.8125,0.10231564,0.8668569,128,0.009037633269787475
Cycling Basal (homeostasis),10,Cks2,14.252027,4.35456493815624e-46,1.1708554205714497e-42,3.5264776,4.7359853,0.4109934,0.8125,0.13566084,0.8653152,128,0.009037633269787475
Cycling Basal (regeneration),1,Hmgb2,51.63184,0.0,0.0,2.734373,10.287414,1.5458875,0.9847021,0.42233574,0.9428035,1242,0.08769328532090659
Cycling Basal (regeneration),2,Tubb5,51.076656,0.0,0.0,3.0995421,15.794082,1.8426347,0.9758454,0.51590437,0.9380421,1242,0.08769328532090659
Cycling Basal (regeneration),3,Stmn1,50.865513,0.0,0.0,3.1438642,6.630292,0.7501278,0.96457326,0.17382556,0.9362313,1242,0.08769328532090659
Cycling Basal (regeneration),4,H2afz,50.109516,0.0,0.0,1.9694207,13.065792,3.3364224,0.9951691,0.66357094,0.9297477,1242,0.08769328532090659
Cycling Basal (regeneration),5,Ran,50.036983,0.0,0.0,1.9780836,10.779338,2.736085,0.989533,0.6416686,0.9291257,1242,0.08769328532090659
Cycling Basal (regeneration),6,Mki67,49.284595,0.0,0.0,5.1976094,4.549111,0.123962454,0.8679549,0.035755746,0.92267317,1242,0.08769328532090659
Cycling Basal (regeneration),7,Birc5,48.1575,0.0,0.0,5.1346483,4.2469487,0.12089097,0.84863126,0.032040864,0.913007,1242,0.08769328532090659
Cycling Basal (regeneration),8,Tk1,47.694748,0.0,0.0,4.9464917,4.436721,0.1438864,0.84541065,0.04194722,0.90903836,1242,0.08769328532090659
Cycling Basal (regeneration),9,2810417H13Rik,46.902504,0.0,0.0,4.865445,3.88528,0.1332838,0.8325282,0.05224054,0.9022439,1242,0.08769328532090659
Cycling Basal (regeneration),10,Ptma,46.79582,0.0,0.0,1.1955386,36.143093,15.78092,1.0,0.9828961,0.901329,1242,0.08769328532090659
Ionocytes,1,Gnas,9.256302,2.116359599815346e-20,5.690467691983502e-16,3.7928174,99.21194,7.1583366,1.0,0.94771475,0.99671614,29,0.0020475887876862248
Ionocytes,2,Gm933,8.993452,2.3958372496360174e-19,1.6406976428653967e-15,12.364034,18.52161,0.0035134482,0.9655172,0.0012027734,0.982611,29,0.0020475887876862248
Ionocytes,3,Ascl3,8.99027,2.4662400404588225e-19,1.6406976428653967e-15,11.0777,23.879148,0.01104839,0.9655172,0.004315834,0.98244023,29,0.0020475887876862248
Ionocytes,4,Foxi1,8.987133,2.5376366306553903e-19,1.6406976428653967e-15,9.902182,9.389645,0.009812854,0.9655172,0.0038913258,0.9822719,29,0.0020475887876862248
Ionocytes,5,Stap1,8.966856,3.0509849056556767e-19,1.6406976428653967e-15,8.5833645,12.620941,0.03290346,0.9655172,0.016909579,0.98118377,29,0.0020475887876862248
Ionocytes,6,Ldhb,8.432883,3.3725118329005974e-17,1.5113349693838545e-13,3.99161,6.112499,0.38425934,0.9655172,0.16796377,0.9525295,29,0.0020475887876862248
Ionocytes,7,Slc12a2,8.374962,5.5241554994749517e-17,2.1219070438554644e-13,5.007638,20.645416,0.64176255,0.9310345,0.17878874,0.9494213,29,0.0020475887876862248
Ionocytes,8,Hepacam2,8.237457,1.7590964643219502e-16,5.912323216586075e-13,6.13278,7.778717,0.11085549,0.8965517,0.020800905,0.9420424,29,0.0020475887876862248
Ionocytes,9,Hacd3,7.9315763,2.163817831009884e-15,6.464525982243752e-12,3.5889132,4.4142337,0.36684686,0.9310345,0.17857648,0.9256281,29,0.0020475887876862248
Ionocytes,10,Plcg2,7.781318,7.17727189526289e-15,1.9298248671982857e-11,4.9413114,4.5481434,0.14803049,0.86206895,0.066364795,0.91756487,29,0.0020475887876862248
Krt4/13+,1,Anxa1,17.462523,2.7644453770651018e-68,7.433040729852646e-64,2.487792,49.738182,8.8672695,1.0,0.8944895,0.96799374,117,0.008260961660665114
Krt4/13+,2,Lgals3,16.795654,2.625910332189794e-63,3.530273850595959e-59,2.3762846,26.339266,5.0730686,1.0,0.7277517,0.95012176,117,0.008260961660665114
Krt4/13+,3,Aqp5,16.678007,1.894347146151659e-62,1.6978402021908602e-58,2.170021,35.827522,7.961141,1.0,0.8296312,0.9469688,117,0.008260961660665114
Krt4/13+,4,Krt4,16.245674,2.3969230867770325e-59,1.5639724845806053e-55,2.8132074,37.38036,5.3184323,1.0,0.56421757,0.93538237,117,0.008260961660665114
Krt4/13+,5,S100a6,16.23381,2.908309440234687e-59,1.5639724845806053e-55,1.600481,120.87899,39.861904,1.0,0.9879681,0.9350647,117,0.008260961660665114
Krt4/13+,6,Mal,16.213387,4.055863697577468e-59,1.8175677183410497e-55,3.398463,11.721876,1.1116238,0.95726496,0.27409938,0.934517,117,0.008260961660665114
Krt4/13+,7,Gsto1,15.964672,2.2522067418823354e-57,8.65104783939032e-54,1.7286373,228.11388,68.83036,1.0,0.9920262,0.92785156,117,0.008260961660665114
Krt4/13+,8,Krt15,15.381679,2.172425941549609e-53,7.301523589548236e-50,1.5411166,70.93266,24.373838,1.0,0.8645878,0.91222733,117,0.008260961660665114
Krt4/13+,9,Anxa2,15.044515,3.7507187295460144e-51,1.1205480577781471e-47,1.5088066,18.8088,6.609446,0.991453,0.9069486,0.9031917,117,0.008260961660665114
Krt4/13+,10,Plac8,14.898508,3.37020122088931e-50,9.061797042727178e-47,3.7546751,8.907443,0.65990776,0.8717949,0.15328208,0.89927846,117,0.008260961660665114
PNEC,1,Nov,14.8573,6.238989836012256e-50,1.6775395871069753e-45,8.796339,43.41287,0.09764649,1.0,0.039321456,0.9999036,74,0.005224881734095884
PNEC,2,Ascl1,14.654035,1.2694762387441646e-48,1.706683855367655e-44,10.33108,21.229076,0.016480329,0.9864865,0.004187664,0.99306434,74,0.005224881734095884
PNEC,3,Igfbp5,14.597906,2.8960516419215257e-48,2.3236243605010747e-44,3.7045548,58.807205,4.5107465,1.0,0.67932427,0.9911758,74,0.005224881734095884
PNEC,4,Wfdc2,-14.585834,3.456745552664497e-48,2.3236243605010747e-44,-4.428391,2.2993395,49.508705,0.4864865,0.9947477,0.0092304135,74,0.005224881734095884
PNEC,5,Insm1,14.447649,2.593900709005615e-47,1.3948960452748595e-43,8.725128,9.697355,0.022915427,0.972973,0.011498332,0.9861201,74,0.005224881734095884
PNEC,6,Gsto1,-14.361973,8.963843188443908e-47,4.016996927514663e-43,-4.48929,3.138829,70.4983,0.5540541,0.9943928,0.016762646,74,0.005224881734095884
PNEC,7,Cd9,14.261845,3.783216403065827e-46,1.4531874663661997e-42,1.9153477,52.974228,14.043894,1.0,0.9730996,0.97986835,74,0.005224881734095884
PNEC,8,Ddc,14.236688,5.423762953904505e-46,1.822926728807304e-42,8.715657,15.558295,0.037007336,0.9594595,0.018596068,0.97902185,74,0.005224881734095884
PNEC,9,Cbr2,-14.124159,2.6960018867425596e-45,8.054455414525995e-42,-5.088484,3.567033,121.36498,0.45945945,0.9908439,0.024764383,74,0.005224881734095884
PNEC,10,Syt7,14.010447,1.3455565096620882e-44,3.617932343179423e-41,7.1348753,9.859026,0.07014917,0.9459459,0.03570161,0.97140956,74,0.005224881734095884
Pre-ciliated,1,Ccno,31.651712,7.182735911090079e-220,1.9312940317739005e-215,5.646108,12.05491,0.24072215,0.9808743,0.056244113,0.9839123,366,0.02584198263079856
Pre-ciliated,2,Hsp90aa1,30.737864,1.7764490388226425e-207,2.3882580877931605e-203,2.895733,31.9142,4.2882633,0.9945355,0.7071827,0.9699408,366,0.02584198263079856
Pre-ciliated,3,Foxj1,30.562166,3.897497765032904e-205,3.493197330206824e-201,3.6639545,18.08498,1.4267826,0.9945355,0.16003479,0.9672546,366,0.02584198263079856
Pre-ciliated,4,Cdkn1a,30.301373,1.0995693048278457e-201,7.391304867052778e-198,4.0339046,9.77706,0.59687304,0.9672131,0.16532579,0.96326745,366,0.02584198263079856
Pre-ciliated,5,Ccdc67,30.222782,1.1891769606432281e-200,6.394918023555023e-197,5.8857117,6.5954833,0.11155032,0.93715847,0.03623976,0.9620659,366,0.02584198263079856
Pre-ciliated,6,Myb,30.121582,2.5280864954330496e-199,1.1329198281533973e-195,4.124803,8.963385,0.5137863,0.9590164,0.15691817,0.96051866,366,0.02584198263079856
Pre-ciliated,7,H2afz,29.509178,2.1953017816247618e-191,8.432467757760943e-188,2.2945664,18.670021,3.8054981,0.9972678,0.6845691,0.95115584,366,0.02584198263079856
Pre-ciliated,8,Phf10,28.776709,4.197358392865377e-182,1.4107321558420533e-178,3.4670131,8.014809,0.7248001,0.94808745,0.2386026,0.9399573,366,0.02584198263079856
Pre-ciliated,9,Ptges3,27.934574,1.0150354114907645e-171,3.0324746826848534e-168,2.1196055,13.955023,3.2111876,0.9945355,0.6771037,0.92708236,366,0.02584198263079856
Pre-ciliated,10,Fam216a,27.915901,1.7108610243783693e-171,4.600163122348559e-168,3.0605059,7.104702,0.851612,0.9508197,0.23200695,0.9267968,366,0.02584198263079856
Secretory,1,Cyp2a5,84.59938,0.0,0.0,3.1096563,123.79946,14.342302,0.98372287,0.6228791,0.9337287,4792,0.3383463955376686
Secretory,2,Bpifa1,84.29577,0.0,0.0,3.7475445,1227.8483,91.41583,0.98393154,0.8422794,0.9321721,4792,0.3383463955376686
Secretory,3,Pigr,82.706856,0.0,0.0,4.224031,13.301873,0.71179146,0.90692824,0.18525237,0.924026,4792,0.3383463955376686
Secretory,4,Cyp2a4,82.428665,0.0,0.0,2.9848812,30.557247,3.859895,0.9661937,0.42407426,0.92259973,4792,0.3383463955376686
Secretory,5,Scgb1a1,79.859604,0.0,0.0,5.608136,219.10625,4.491977,0.9223706,0.39472842,0.90942854,4792,0.3383463955376686
Secretory,6,Scgb3a2,78.7547,0.0,0.0,3.074642,156.56209,18.583485,0.9630634,0.7176395,0.90376383,4792,0.3383463955376686
Secretory,7,Reg3g,77.84097,0.0,0.0,3.2178664,190.9451,20.522686,0.97725374,0.71347773,0.89907926,4792,0.3383463955376686
Secretory,8,Scgb3a1,76.38728,0.0,0.0,5.6494327,133.78255,2.6653285,0.8716611,0.28289405,0.8916265,4792,0.3383463955376686
Secretory,9,Muc5b,74.25282,0.0,0.0,5.574059,9.364463,0.196573,0.78359765,0.050154734,0.8806834,4792,0.3383463955376686
Secretory,10,Lypd2,72.83865,0.0,0.0,1.4896772,12.22733,4.354057,0.9878965,0.77046204,0.8734333,4792,0.3383463955376686
